survey_id,step,step_idx,model_id,seed_song_id,genre,playlist_number,relevance,novelty,satisfaction,age,country,age_group,model_type
8,9,8,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,3,2,4,18,CHE,<20,Unimodal (Audio Only)
9,1,0,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,2,5,3,21,BLR,20-35,Multimodal (Advanced)
9,2,1,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,5,1,21,BLR,20-35,Multimodal (Advanced)
9,3,2,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,5,3,21,BLR,20-35,Multimodal (Advanced)
9,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,3,4,2,21,BLR,20-35,Multimodal (Simple)
9,5,4,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,5,1,21,BLR,20-35,Multimodal (Simple)
9,6,5,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,5,3,21,BLR,20-35,Multimodal (Simple)
9,7,6,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,3,3,5,21,BLR,20-35,Unimodal (Audio Only)
9,8,7,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,5,3,21,BLR,20-35,Unimodal (Audio Only)
9,9,8,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,5,3,21,BLR,20-35,Unimodal (Audio Only)
10,1,0,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,1,2,21,BHR,20-35,Unimodal (Audio Only)
10,2,1,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,4,1,5,21,BHR,20-35,Unimodal (Audio Only)
10,3,2,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,5,3,5,21,BHR,20-35,Unimodal (Audio Only)
10,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,1,1,21,BHR,20-35,Multimodal (Simple)
10,5,4,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,1,1,21,BHR,20-35,Multimodal (Simple)
10,6,5,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,5,3,4,21,BHR,20-35,Multimodal (Simple)
10,7,6,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,1,1,21,BHR,20-35,Multimodal (Advanced)
10,8,7,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,3,1,4,21,BHR,20-35,Multimodal (Advanced)
10,9,8,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,4,1,4,21,BHR,20-35,Multimodal (Advanced)
11,1,0,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,5,1,18,GBR,<20,Multimodal (Advanced)
11,2,1,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,5,1,18,GBR,<20,Multimodal (Advanced)
11,3,2,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,4,1,18,GBR,<20,Multimodal (Advanced)
11,4,3,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,5,1,18,GBR,<20,Unimodal (Audio Only)
11,5,4,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,5,1,18,GBR,<20,Unimodal (Audio Only)
11,6,5,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,5,1,18,GBR,<20,Unimodal (Audio Only)
11,7,6,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,5,2,18,GBR,<20,Multimodal (Simple)
11,8,7,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,5,1,18,GBR,<20,Multimodal (Simple)
11,9,8,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,5,2,18,GBR,<20,Multimodal (Simple)
12,1,0,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,4,4,28,DEU,20-35,Unimodal (Audio Only)
12,2,1,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,3,4,4,28,DEU,20-35,Unimodal (Audio Only)
12,3,2,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,3,2,4,28,DEU,20-35,Unimodal (Audio Only)
12,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,3,4,3,28,DEU,20-35,Multimodal (Simple)
12,5,4,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,4,3,4,28,DEU,20-35,Multimodal (Simple)
12,6,5,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,4,2,4,28,DEU,20-35,Multimodal (Simple)
12,7,6,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,2,3,4,28,DEU,20-35,Multimodal (Advanced)
12,8,7,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,4,2,3,28,DEU,20-35,Multimodal (Advanced)
12,9,8,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,2,2,2,28,DEU,20-35,Multimodal (Advanced)
13,1,0,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,5,1,22,GBR,20-35,Multimodal (Simple)
13,2,1,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,3,1,3,22,GBR,20-35,Multimodal (Simple)
13,3,2,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,2,4,2,22,GBR,20-35,Multimodal (Simple)
13,4,3,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,2,3,2,22,GBR,20-35,Multimodal (Advanced)
13,5,4,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,3,2,4,22,GBR,20-35,Multimodal (Advanced)
13,6,5,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,3,4,3,22,GBR,20-35,Multimodal (Advanced)
13,7,6,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,5,1,22,GBR,20-35,Unimodal (Audio Only)
13,8,7,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,4,4,4,22,GBR,20-35,Unimodal (Audio Only)
13,9,8,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,3,4,4,22,GBR,20-35,Unimodal (Audio Only)
14,1,0,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,4,1,18,GBR,<20,Unimodal (Audio Only)
14,2,1,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,3,3,3,18,GBR,<20,Unimodal (Audio Only)
14,3,2,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,2,4,3,18,GBR,<20,Unimodal (Audio Only)
14,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,3,3,3,18,GBR,<20,Multimodal (Simple)
14,5,4,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,2,4,2,18,GBR,<20,Multimodal (Simple)
14,6,5,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,3,4,3,18,GBR,<20,Multimodal (Simple)
14,7,6,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,3,4,3,18,GBR,<20,Multimodal (Advanced)
14,8,7,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,4,4,4,18,GBR,<20,Multimodal (Advanced)
14,9,8,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,4,4,4,18,GBR,<20,Multimodal (Advanced)
15,1,0,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,5,3,23,DEU,20-35,Unimodal (Audio Only)
15,2,1,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,2,4,4,23,DEU,20-35,Unimodal (Audio Only)
15,3,2,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,3,2,4,23,DEU,20-35,Unimodal (Audio Only)
15,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,2,4,3,23,DEU,20-35,Multimodal (Simple)
15,5,4,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,2,3,3,23,DEU,20-35,Multimodal (Simple)
15,6,5,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,3,3,4,23,DEU,20-35,Multimodal (Simple)
15,7,6,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,5,3,23,DEU,20-35,Multimodal (Advanced)
15,8,7,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,3,3,4,23,DEU,20-35,Multimodal (Advanced)
15,9,8,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,2,4,3,23,DEU,20-35,Multimodal (Advanced)
16,1,0,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,3,2,3,20,GBR,20-35,Multimodal (Advanced)
16,2,1,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,1,2,20,GBR,20-35,Multimodal (Advanced)
16,3,2,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,5,2,20,GBR,20-35,Multimodal (Advanced)
16,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,2,4,1,20,GBR,20-35,Multimodal (Simple)
16,5,4,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,2,3,1,20,GBR,20-35,Multimodal (Simple)
16,6,5,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,4,3,20,GBR,20-35,Multimodal (Simple)
16,7,6,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,4,4,20,GBR,20-35,Unimodal (Audio Only)
16,8,7,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,3,3,20,GBR,20-35,Unimodal (Audio Only)
16,9,8,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,4,4,20,GBR,20-35,Unimodal (Audio Only)
17,1,0,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,1,1,30,DEU,20-35,Unimodal (Audio Only)
17,2,1,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,3,5,5,30,DEU,20-35,Unimodal (Audio Only)
17,3,2,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,3,1,30,DEU,20-35,Unimodal (Audio Only)
17,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,2,5,2,30,DEU,20-35,Multimodal (Simple)
17,5,4,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,2,5,1,30,DEU,20-35,Multimodal (Simple)
