survey_id,step,step_idx,model_id,seed_song_id,genre,playlist_number,song_id,song_name,rating,age,country,age_group,model_type
5,7,6,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,44722,In My Darkest Hour - Remastered,False,18,GBR,<20,Unimodal (Audio Only)
5,7,6,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,52203,Mariana's Trench,True,18,GBR,<20,Unimodal (Audio Only)
5,8,7,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,8364,Born To Boogie,False,18,GBR,<20,Unimodal (Audio Only)
5,8,7,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,16589,Last Train - Remastered Version,False,18,GBR,<20,Unimodal (Audio Only)
5,8,7,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,21693,I Know I'm Not Wrong - 2015 Remaster,False,18,GBR,<20,Unimodal (Audio Only)
5,8,7,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,31585,these are my friends,False,18,GBR,<20,Unimodal (Audio Only)
5,8,7,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,50907,Heat of the Summer,False,18,GBR,<20,Unimodal (Audio Only)
5,9,8,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,6188,Ayo,False,18,GBR,<20,Unimodal (Audio Only)
5,9,8,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,11399,Me Gusta,False,18,GBR,<20,Unimodal (Audio Only)
5,9,8,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,43548,Lose Yourself to Dance (feat. Pharrell Williams),False,18,GBR,<20,Unimodal (Audio Only)
5,9,8,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,46484,Síguelo Bailando,False,18,GBR,<20,Unimodal (Audio Only)
5,9,8,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,56742,FML,False,18,GBR,<20,Unimodal (Audio Only)
6,1,0,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,3487,Territory,False,32,FIN,20-35,Multimodal (Advanced)
6,1,0,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,18564,Bitter,True,32,FIN,20-35,Multimodal (Advanced)
6,1,0,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,24734,Siberian Breaks,False,32,FIN,20-35,Multimodal (Advanced)
6,1,0,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,36917,Am I Evil? (Remastered),False,32,FIN,20-35,Multimodal (Advanced)
6,1,0,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,59600,Breakdown,False,32,FIN,20-35,Multimodal (Advanced)
6,2,1,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,2306,History,False,32,FIN,20-35,Multimodal (Advanced)
6,2,1,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,7071,Take It From Here,False,32,FIN,20-35,Multimodal (Advanced)
6,2,1,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,32740,Freedom! '90 - Remastered,False,32,FIN,20-35,Multimodal (Advanced)
6,2,1,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,52126,Whatcha Know 'Bout That,True,32,FIN,20-35,Multimodal (Advanced)
6,2,1,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,63394,Drive,False,32,FIN,20-35,Multimodal (Advanced)
6,3,2,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,18347,You Know My Steez,False,32,FIN,20-35,Multimodal (Advanced)
6,3,2,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,21768,Not Thinkin' Bout You,True,32,FIN,20-35,Multimodal (Advanced)
6,3,2,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,24950,Wrecking Ball,False,32,FIN,20-35,Multimodal (Advanced)
6,3,2,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,31139,The Recluse,False,32,FIN,20-35,Multimodal (Advanced)
6,3,2,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,31187,If You’re Too Shy (Let Me Know) - Edit,True,32,FIN,20-35,Multimodal (Advanced)
6,4,3,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,658,遥か彼方,True,32,FIN,20-35,Unimodal (Audio Only)
6,4,3,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,10176,Evisceration Plague,False,32,FIN,20-35,Unimodal (Audio Only)
6,4,3,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,28629,Desperate Cry,False,32,FIN,20-35,Unimodal (Audio Only)
6,4,3,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,44722,In My Darkest Hour - Remastered,True,32,FIN,20-35,Unimodal (Audio Only)
6,4,3,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,52203,Mariana's Trench,False,32,FIN,20-35,Unimodal (Audio Only)
6,5,4,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,8364,Born To Boogie,False,32,FIN,20-35,Unimodal (Audio Only)
6,5,4,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,16589,Last Train - Remastered Version,False,32,FIN,20-35,Unimodal (Audio Only)
6,5,4,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,21693,I Know I'm Not Wrong - 2015 Remaster,False,32,FIN,20-35,Unimodal (Audio Only)
6,5,4,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,31585,these are my friends,True,32,FIN,20-35,Unimodal (Audio Only)
6,5,4,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,50907,Heat of the Summer,True,32,FIN,20-35,Unimodal (Audio Only)
6,6,5,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,6188,Ayo,False,32,FIN,20-35,Unimodal (Audio Only)
6,6,5,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,11399,Me Gusta,False,32,FIN,20-35,Unimodal (Audio Only)
6,6,5,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,43548,Lose Yourself to Dance (feat. Pharrell Williams),False,32,FIN,20-35,Unimodal (Audio Only)
6,6,5,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,46484,Síguelo Bailando,False,32,FIN,20-35,Unimodal (Audio Only)
6,6,5,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,56742,FML,False,32,FIN,20-35,Unimodal (Audio Only)
6,7,6,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,10891,Bed of Lies,False,32,FIN,20-35,Unimodal (Album Covers Only)
6,7,6,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,23378,Last Beautiful Girl,False,32,FIN,20-35,Unimodal (Album Covers Only)
6,7,6,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,26095,Still Searching,True,32,FIN,20-35,Unimodal (Album Covers Only)
6,7,6,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,36917,Am I Evil? (Remastered),False,32,FIN,20-35,Unimodal (Album Covers Only)
6,7,6,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,39664,More Justice,True,32,FIN,20-35,Unimodal (Album Covers Only)
6,8,7,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,30224,Leave Your Lover,False,32,FIN,20-35,Unimodal (Album Covers Only)
6,8,7,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,34156,One Particular Harbour,False,32,FIN,20-35,Unimodal (Album Covers Only)
6,8,7,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,46389,Money On My Mind,True,32,FIN,20-35,Unimodal (Album Covers Only)
6,8,7,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,50791,Star Of The Show,False,32,FIN,20-35,Unimodal (Album Covers Only)
6,8,7,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,50955,Grace,False,32,FIN,20-35,Unimodal (Album Covers Only)
6,9,8,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1428,Remember The Name (feat. Eminem & 50 Cent),True,32,FIN,20-35,Unimodal (Album Covers Only)
6,9,8,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,4174,Berenstein,False,32,FIN,20-35,Unimodal (Album Covers Only)
6,9,8,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,30472,Nice To Meet Ya,True,32,FIN,20-35,Unimodal (Album Covers Only)
6,9,8,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,32886,Gold Mine,False,32,FIN,20-35,Unimodal (Album Covers Only)
6,9,8,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,36345,I Lied (Intro),False,32,FIN,20-35,Unimodal (Album Covers Only)
7,1,0,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,3487,Territory,True,18,GBR,<20,Multimodal (Advanced)
7,1,0,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,18564,Bitter,True,18,GBR,<20,Multimodal (Advanced)
7,1,0,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,24734,Siberian Breaks,False,18,GBR,<20,Multimodal (Advanced)
